X	Y	AnomalyEnd	Age
65.7321	-12.3177		0
65.6368	-12.3733	"C1n,o,1"	0.78
65.3749	-12.5659	"C2An,1n,y,1,"	2.58
65.2736	-12.6374	"C2An,3n,o,1"	3.58
65.0487	-12.7946	"C3n,4n,c,1"	5.105
64.917	-12.884	"C3An,1n,y,1"	5.894
64.8221	-12.9512	"C3An,2n,o,1"	6.567
64.7094	-13.0306	"C4n,2n,c,1"	7.86
64.6118	-13.0981	"C4An,c,1"	8.862
64.4929	-13.1827	"C5n,1n,y,1"	9.74
64.3446	-13.2877	"C5n,2n,o,1"	10.949
64.1799	-13.3918	"C5An,2n,o,1"	12.401
63.8907	-13.5714	"C5ADn,c,1"	14.395
63.7448	-13.6583	"C5Cn,1n,y,1"	16.014
63.5319	-13.7557	"C5Cn,3n,o,1"	16.726
63.2969	-13.8307	"C5Dn,c,1"	17.446
63.2061	-13.8436	"C5En,y,1"	18.281
63.1777	-14.0453	"C6n,y,1"	19.048
